dataset_name,model_type,config.model.model_domain,config.model.tune_gnn,config.model.backbone.neighborhoods,config.model.backbone.GNN.num_layers,config.model.feature_encoder.out_channels,config.model.feature_encoder.proj_dropout,config.optimizer.parameters.lr,config.optimizer.parameters.weight_decay,config.dataset.dataloader_params.batch_size,summary.test_best_rerun/accuracy_mean,summary.test_best_rerun/accuracy_std,summary.test_best_rerun/auroc_mean,summary.test_best_rerun/auroc_std,summary.test_best_rerun/f1_mean,summary.test_best_rerun/f1_std,summary.test_best_rerun/loss_mean,summary.test_best_rerun/loss_std,summary.test_best_rerun/precision_mean,summary.test_best_rerun/precision_std,summary.test_best_rerun/recall_mean,summary.test_best_rerun/recall_std,summary.val_best_rerun/accuracy_mean,summary.val_best_rerun/accuracy_std,summary.val_best_rerun/auroc_mean,summary.val_best_rerun/auroc_std,summary.val_best_rerun/f1_mean,summary.val_best_rerun/f1_std,summary.val_best_rerun/loss_mean,summary.val_best_rerun/loss_std,summary.val_best_rerun/precision_mean,summary.val_best_rerun/precision_std,summary.val_best_rerun/recall_mean,summary.val_best_rerun/recall_std,summary.test_best_rerun/mae_mean,summary.test_best_rerun/mae_std,summary.test_best_rerun/mse_mean,summary.test_best_rerun/mse_std,summary.val_best_rerun/mae_mean,summary.val_best_rerun/mae_std,summary.val_best_rerun/mse_mean,summary.val_best_rerun/mse_std,summary.test_best_rerun/accuracy-0_mean,summary.test_best_rerun/accuracy-0_std,summary.test_best_rerun/accuracy-1_mean,summary.test_best_rerun/accuracy-1_std,summary.test_best_rerun/accuracy-2_mean,summary.test_best_rerun/accuracy-2_std,summary.test_best_rerun/f1-0_mean,summary.test_best_rerun/f1-0_std,summary.test_best_rerun/f1-1_mean,summary.test_best_rerun/f1-1_std,summary.test_best_rerun/f1-2_mean,summary.test_best_rerun/f1-2_std,summary.test_best_rerun/precision-0_mean,summary.test_best_rerun/precision-0_std,summary.test_best_rerun/precision-1_mean,summary.test_best_rerun/precision-1_std,summary.test_best_rerun/precision-2_mean,summary.test_best_rerun/precision-2_std,summary.test_best_rerun/recall-0_mean,summary.test_best_rerun/recall-0_std,summary.test_best_rerun/recall-1_mean,summary.test_best_rerun/recall-1_std,summary.test_best_rerun/recall-2_mean,summary.test_best_rerun/recall-2_std,summary.val_best_rerun/accuracy-0_mean,summary.val_best_rerun/accuracy-0_std,summary.val_best_rerun/accuracy-1_mean,summary.val_best_rerun/accuracy-1_std,summary.val_best_rerun/accuracy-2_mean,summary.val_best_rerun/accuracy-2_std,summary.val_best_rerun/f1-0_mean,summary.val_best_rerun/f1-0_std,summary.val_best_rerun/f1-1_mean,summary.val_best_rerun/f1-1_std,summary.val_best_rerun/f1-2_mean,summary.val_best_rerun/f1-2_std,summary.val_best_rerun/precision-0_mean,summary.val_best_rerun/precision-0_std,summary.val_best_rerun/precision-1_mean,summary.val_best_rerun/precision-1_std,summary.val_best_rerun/precision-2_mean,summary.val_best_rerun/precision-2_std,summary.val_best_rerun/recall-0_mean,summary.val_best_rerun/recall-0_std,summary.val_best_rerun/recall-1_mean,summary.val_best_rerun/recall-1_std,summary.val_best_rerun/recall-2_mean,summary.val_best_rerun/recall-2_std,run_count
BBB_Martins,gat,graph,,,,256.0,0.25,0.01,0.0001,128.0,0.8249589496188694,0.009660019212605177,0.8083709716796875,0.0284332344123952,0.7291815770996941,0.02571639005328764,0.4735025756888919,0.13063762036505933,0.8013753877745734,0.024942345237423547,0.704788151052263,0.028634369708740635,0.8770662307739258,0.01451305143596424,0.8485552125506931,0.031632533645362726,0.8169337511062622,0.024635641217420907,0.38951692912313673,0.11798709291547585,0.8740201830863953,0.028234089630073258,0.7881994658046299,0.02818096902165826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,256.0,0.25,0.01,0.0001,256.0,0.8201423115200467,0.014299306852270051,0.7949964721997579,0.028974085092000203,0.7194552421569824,0.031244673189074326,0.4784958846039242,0.03496663221752347,0.7944961163732741,0.03071621812216576,0.6955087754461501,0.031330693951875696,0.866228789753384,0.018128771068927053,0.8397775504324171,0.03225886766012625,0.8010330531332228,0.02798612137039826,0.3952999174594879,0.04681622590028856,0.856490535206265,0.03723511198968801,0.7738691171010336,0.029222216513340886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,256.0,0.5,0.001,0.0001,128.0,0.8289545787705316,0.01333192456152458,0.8079371690750122,0.02220792423545667,0.7351860139105055,0.02851394327018194,0.506035844484965,0.05554649214767456,0.8088825874858432,0.028950074984120062,0.7095300250583225,0.02910613747765737,0.8772851692305671,0.008900657205886339,0.8431573218769497,0.024447563000644032,0.8174356579780578,0.012396064939729647,0.4087426033284929,0.056217839093261855,0.8769625226656595,0.032026529515416145,0.788056140475803,0.017125024715311993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,256.0,0.5,0.001,0.0001,256.0,0.8266557150416904,0.011327240594836804,0.8056436697642009,0.029208844663522658,0.7246615105205112,0.023652378664600373,0.5461715267764198,0.06677937000360802,0.8174950811598036,0.03634422334192637,0.6973091761271158,0.024760872250002407,0.8775041076872084,0.014384974863676177,0.8285431689686246,0.027659967924772016,0.8153416713078817,0.018490728539939872,0.4534018185403612,0.07847346787673785,0.8865403466754489,0.03861162761246635,0.7832803090413412,0.020546924770231942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,256.0,0.5,0.01,0.0001,128.0,0.8265462517738342,0.009997927994274052,0.7975069456630283,0.03085664886483638,0.7243136856291029,0.026548352945138732,0.4715687354405721,0.053215109489019724,0.8131176167064242,0.019701366659784045,0.6970222300953335,0.026684158519003822,0.8813355220688714,0.013605592662921853,0.8496739281548394,0.04073676488866805,0.8201112614737617,0.02627382644766436,0.3809958749347263,0.07716690367932122,0.889194659392039,0.02268402329125084,0.7880102793375651,0.032856534181501945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,256.0,0.5,0.01,0.0001,256.0,0.8222222222222222,0.011375821830806241,0.7878135217560662,0.033808202351730744,0.7138952665858799,0.02865925273063786,0.5048776818646326,0.07146987317894182,0.8094988862673441,0.022724855827619815,0.6870760202407837,0.02663365307867113,0.8735632247394985,0.017096824217830403,0.8283969693713717,0.03524870458348491,0.8049617502424452,0.030803165894628195,0.41236186027526855,0.06306871353541589,0.8842945668432448,0.03253412933018888,0.7702256162961324,0.030653582221096893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gcn,graph,,,,128.0,0.25,0.001,0.0001,128.0,0.829282976521386,0.011000357440595783,0.8057999677128262,0.027351947755268922,0.733806676334805,0.025707474682697115,0.458059964577357,0.03088849800702956,0.8143007450633579,0.029185725579882357,0.7076851076549954,0.027606164022626313,0.8782703876495361,0.011818101586053405,0.8444014390309652,0.027491982632284962,0.8148977438608805,0.02401837982934022,0.3843330674701267,0.039192909859738195,0.8874689830674065,0.02778028315773223,0.7826338754759894,0.02949527852993506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gcn,graph,,,,128.0,0.25,0.001,0.0001,256.0,0.826163113117218,0.012575496439324239,0.7948439121246338,0.030279926810719036,0.7323028643925985,0.025904759379451088,0.4939564784367879,0.031476861964127724,0.7997760362095303,0.025187307672678443,0.7070901844236586,0.026237116777734285,0.8748768435584174,0.01283712756613311,0.833826392226749,0.03532716534358807,0.8105021648936801,0.027017157388259504,0.4054310195975833,0.04379397056166239,0.8760787698957655,0.01567442164600677,0.7794992102517022,0.03011233698317814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gcn,graph,,,,128.0,0.25,0.01,0.0001,128.0,0.8264915174908108,0.010959336581187713,0.807517064942254,0.024300692789865092,0.726050345102946,0.02901961814667138,0.447501896487342,0.04250142205636337,0.8129086679882473,0.02753896736429192,0.6999049425125122,0.029228374942195073,0.877941984600491,0.014241986543431638,0.8525513039694892,0.029128416092373946,0.8163566059536405,0.024564459923906264,0.3695298088921441,0.044110039465665135,0.8821932766172621,0.03177596617615409,0.7855994277530246,0.028234945201124236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gcn,graph,,,,128.0,0.25,0.01,0.0001,256.0,0.8236453162299262,0.011699812009102294,0.7983179688453674,0.028133218892646843,0.7236948437160916,0.025586579889917964,0.4712470981809828,0.020961424649452342,0.8008397301038106,0.02420350968452559,0.6976420667436388,0.025499360326955114,0.8761904703246223,0.014230791825772499,0.8399495508935716,0.026311084962403728,0.8132759796248542,0.025248464689559384,0.38783057067129345,0.03301283047873733,0.877382853296068,0.024645132944044523,0.7821135931544834,0.028213528620837317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
