dataset_name,model_type,model_category,config.model.model_domain,score_name,score,score_std,val_score,run_count,config.model.tune_gnn,config.model.backbone.neighborhoods,config.model.backbone.GNN.num_layers,config.model.feature_encoder.out_channels,config.model.feature_encoder.proj_dropout,config.optimizer.parameters.lr,config.optimizer.parameters.weight_decay,config.dataset.dataloader_params.batch_size
NCI1,topotune,topotune_cell,cell,accuracy,0.772762656211853,0.0169411483926215,0.7924050569534302,5,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,128.0,0.5,0.01,0.0001,128.0
NCI1,topotune,topotune_simplicial,simplicial,accuracy,0.7677042841911316,0.0163701690615622,0.7834469199180603,5,GIN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,128.0,0.25,0.01,0.0001,128.0
NCI109,gat,baselines_best,graph,accuracy,0.721910293896993,0.0164159750384964,0.7388511644469367,45,,,,128.0,0.25,0.01,0.0,128.0
NCI109,topotune,topotune_cell,cell,accuracy,0.7523717403411865,0.0191347031125536,0.7773035883903503,5,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,128.0,0.25,0.01,0.0001,256.0
NCI109,topotune,topotune_simplicial,simplicial,accuracy,0.7579864501953125,0.0143422379785472,0.7873908877372742,5,GIN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,256.0,0.5,0.01,0.0001,128.0
PROTEINS,gcn,baselines_best,graph,accuracy,0.7449621677398681,0.0274455460936299,0.7619504438506233,45,,,,128.0,0.5,0.01,0.0,128.0
PROTEINS,topotune,topotune_cell,cell,accuracy,0.7354838728904725,0.0190335566708185,0.7712230205535888,5,GCN,['up_adjacency-0'],2.0,128.0,0.5,0.01,0.0001,128.0
PROTEINS,topotune,topotune_simplicial,simplicial,accuracy,0.7612903118133545,0.015540844942046,0.7755395650863648,5,GIN,"['up_incidence-0', '2-up_incidence-0']",4.0,128.0,0.25,0.01,0.0001,128.0
mantra_betti_number_1,gin,baselines_best,graph,f1,0.8720348238945007,0.0261867499389183,0.8810177458657159,45,,,,128.0,0.25,0.001,0.0001,128.0
mantra_betti_number_1,topotune,topotune_simplicial,simplicial,f1,0.8977366328239441,0.0029692428017898,0.9089234113693238,5,GIN,"['up_adjacency-0', 'up_adjacency-1', '2-up_adjacency-0', 'down_adjacency-1', 'down_adjacency-2', '2-down_adjacency-2']",4.0,128.0,0.5,0.01,0.0,128.0
mantra_betti_number_2,gin,baselines_best,graph,f1,0.519088351726532,0.0410195195183531,0.5188062204254998,45,,,,256.0,0.25,0.001,0.0001,128.0
mantra_betti_number_2,topotune,topotune_simplicial,simplicial,f1,0.8036990523338318,0.022017488112066,0.8076133728027344,5,GIN,"['up_adjacency-0', 'up_adjacency-1', '2-up_adjacency-0', 'down_adjacency-1', 'down_adjacency-2', '2-down_adjacency-2']",4.0,128.0,0.5,0.01,0.0,128.0
mantra_name,gin,baselines_best,graph,f1,0.7641712082756891,0.0098314326340594,0.7653505537245009,45,,,,128.0,0.25,0.001,0.0001,256.0
